 	ribo_5p
MSMEG_0195	0.5816
MSMEG_0196	0.231
MSMEG_0197	0.3021
MSMEG_0198	1.6581
MSMEG_0200	0.2743
MSMEG_0201	1.0
MSMEG_0202	0.4807
MSMEG_0203	0.8172
MSMEG_0204	0.9211
MSMEG_0205	0.2827
MSMEG_0206	2.1943
MSMEG_0207	0.9025
MSMEG_0208	0.4625
MSMEG_0209	0.7532
MSMEG_0210	0.1434
MSMEG_0211	0.1629
MSMEG_0212	0.3699
MSMEG_0213	0.5429
MSMEG_0214	0.2448
MSMEG_0215	5.1205
MSMEG_0216	5.2941
MSMEG_0217	0.9747
MSMEG_0218	0.3475
MSMEG_0219	5.9725
MSMEG_0220	0.8767
MSMEG_0221	0.2318
MSMEG_0222	0.7405
MSMEG_0223	0.3219
MSMEG_0224	1.9873
MSMEG_0225	0.1268
MSMEG_0226	0.1895
MSMEG_0227	0.5262
MSMEG_0228	0.4547
MSMEG_0229	1.4741
MSMEG_0230	0.4509
MSMEG_0231	6.1702
MSMEG_0232	0.816
MSMEG_0233	2.4431
MSMEG_0234	8.9973
MSMEG_0235	2.5265
MSMEG_0236	0.3859
MSMEG_0237	0.0509
MSMEG_0238	0.2332
MSMEG_0239	0.1446
MSMEG_0240	1.1113
MSMEG_0241	0.2244
MSMEG_0242	0.8537
MSMEG_0243	0.5787
MSMEG_0244	0.2863
MSMEG_0245	0.4824
MSMEG_0246	0.1375
MSMEG_0247	0.3764
MSMEG_0248	2.0608
MSMEG_0249	5.76
MSMEG_0250	0.3457
MSMEG_0251	0.3468
MSMEG_0252	6.2847
MSMEG_0253	0.1571
MSMEG_0254	0.3166
MSMEG_0255	1.0657
MSMEG_0256	0.2032
MSMEG_0257	0.5988
MSMEG_0258	0.5523
MSMEG_0259	1.0484
MSMEG_0260	4.4976
MSMEG_0261	1.0556
MSMEG_0262	0.2246
MSMEG_0263	0.4043
MSMEG_0264	0.3699
MSMEG_0265	1.6099
MSMEG_0266	6.4625
MSMEG_0267	3.4154
MSMEG_0268	0.3548
MSMEG_0269	0.8248
MSMEG_0270	1.8201
MSMEG_0271	0.7015
MSMEG_0272	0.7307
MSMEG_0273	1.1737
MSMEG_0274	0.5345
MSMEG_0275	0.6607
MSMEG_0276	0.3908
MSMEG_0277	0.6958
MSMEG_0278	0.1086
MSMEG_0279	0.5007
MSMEG_0280	0.466
MSMEG_0281	0.7946
MSMEG_0282	0.417
MSMEG_0283	0.0479
MSMEG_0284	0.2713
MSMEG_0285	0.4804
MSMEG_0286	0.4852
MSMEG_0287	1.9183
MSMEG_0288	0.6856
MSMEG_0289	1.8406
MSMEG_0290	0.426
MSMEG_0291	0.7893
MSMEG_0292	0.3543
MSMEG_0293	1.0399
MSMEG_0294	0.4453
MSMEG_0295	0.154
MSMEG_0296	3.3772
MSMEG_0297	0.4176
MSMEG_0298	0.6774
MSMEG_0299	0.9871
MSMEG_0300	0.5348
MSMEG_0301	2.4577
MSMEG_0302	0.2429
MSMEG_0303	0.5234
MSMEG_0304	0.323
MSMEG_0305	1.3517
MSMEG_0306	0.6766
MSMEG_0307	1.2138
MSMEG_0308	0.8951
MSMEG_0309	0.769
MSMEG_0311	0.1799
MSMEG_0312	0.6301
MSMEG_0313	0.4839
MSMEG_0314	0.7456
MSMEG_0315	0.0733
MSMEG_0316	1.8542
MSMEG_0317	0.3374
MSMEG_0318	0.434
MSMEG_0319	1.9117
MSMEG_0320	0.2235
MSMEG_0321	0.4446
MSMEG_0323	0.9276
MSMEG_0324	0.603
MSMEG_0325	0.4737
MSMEG_0326	0.1802
MSMEG_0327	0.8562
MSMEG_0328	0.8421
MSMEG_0329	1.003
MSMEG_0330	0.1803
MSMEG_0331	0.4383
MSMEG_0332	1.9515
MSMEG_0333	0.8865
MSMEG_0334	0.7907
MSMEG_0335	0.4106
MSMEG_0336	0.4858
MSMEG_0337	0.2295
MSMEG_0338	0.2654
MSMEG_0339	0.2609
MSMEG_0340	0.9787
MSMEG_0341	0.6177
MSMEG_0342	0.4508
MSMEG_0343	2.9748
MSMEG_0344	0.4213
MSMEG_0345	0.1077
MSMEG_0346	0.1713
MSMEG_0347	0.4586
MSMEG_0348	0.3549
MSMEG_0349	0.2467
MSMEG_0350	0.5212
MSMEG_0351	0.1177
MSMEG_0352	1.3024
MSMEG_0353	0.4207
MSMEG_0354	0.1557
MSMEG_0355	0.1914
MSMEG_0356	4.7926
MSMEG_0357	0.4112
MSMEG_0358	2.1702
MSMEG_0359	0.1053
MSMEG_0360	9.8047
MSMEG_0361	2.2045
MSMEG_0362	1.5857
MSMEG_0363	7.9518
MSMEG_0364	0.4103
MSMEG_0365	0.3642
MSMEG_0366	0.3055
MSMEG_0367	0.9277
MSMEG_0368	0.9404
MSMEG_0369	0.755
MSMEG_0370	0.2697
MSMEG_0371	0.3699
MSMEG_0372	2.0635
MSMEG_0373	5.4334
MSMEG_0374	0.1005
MSMEG_0375	1.661
MSMEG_0376	0.5834
MSMEG_0377	0.5768
MSMEG_0378	0.8607
MSMEG_0379	0.3
MSMEG_0380	0.513
MSMEG_0381	0.1661
MSMEG_0382	0.0585
MSMEG_0383	1.1279
MSMEG_0384	0.2864
MSMEG_0385	0.4222
MSMEG_0386	0.125
MSMEG_0387	0.2796
MSMEG_0388	0.8397
MSMEG_0389	0.0789
MSMEG_0390	0.203
MSMEG_0391	2.8132
MSMEG_0392	0.3381
MSMEG_0393	2.4427
MSMEG_0394	2.7214
MSMEG_0395	0.0732
MSMEG_0396	0.8874
MSMEG_0397	0.2853
MSMEG_0398	0.3226
MSMEG_0399	1.6965
MSMEG_0400	0.1135
MSMEG_0401	0.1802
MSMEG_0402	0.3589
MSMEG_0403	0.152
MSMEG_0404	0.2305
MSMEG_0405	0.1571
MSMEG_0406	1.4014
MSMEG_0407	0.685
MSMEG_0408	1.1049
MSMEG_0409	1.6371
MSMEG_0410	0.2864
MSMEG_0411	0.2656
MSMEG_0412	0.5179
MSMEG_0413	0.7611
MSMEG_0414	0.5125
MSMEG_0415	2.1799
MSMEG_0416	1.3227
MSMEG_0417	1.1476
MSMEG_0418	0.5383
MSMEG_0419	0.2093
MSMEG_0420	0.534
MSMEG_0421	0.3005
MSMEG_0422	0.4175
MSMEG_0423	0.1166
MSMEG_0424	0.9638
MSMEG_0425	0.3142
MSMEG_0426	0.6536
MSMEG_0427	0.2017
MSMEG_0428	1.1376
MSMEG_0429	0.3834
MSMEG_0430	0.0339
MSMEG_0431	0.1113
MSMEG_0432	0.9214
MSMEG_0433	0.0197
MSMEG_0434	0.0893
MSMEG_0435	0.2301
MSMEG_0436	5.7897
MSMEG_0437	0.4199
MSMEG_0438	2.7693
MSMEG_0439	0.0929
MSMEG_0440	0.0484
MSMEG_0441	2.3362
MSMEG_0442	1.0638
MSMEG_0443	0.4491
MSMEG_0444	0.2232
MSMEG_0445	0.6815
MSMEG_0446	0.5014
MSMEG_0447	4.9125
MSMEG_0448	0.9505
MSMEG_0449	0.0506
MSMEG_0450	0.7644
MSMEG_0451	14.8226
MSMEG_0452	0.7629
MSMEG_0453	0.5363
MSMEG_0454	1.7869
MSMEG_0455	0.3577
MSMEG_0456	0.3717
MSMEG_0457	0.3596
MSMEG_0458	1.1445
MSMEG_0459	0.1271
MSMEG_0460	1.3813
MSMEG_0461	0.6605
MSMEG_0462	0.7366
MSMEG_0463	0.3812
MSMEG_0464	3.713
MSMEG_0465	0.1886
MSMEG_0466	0.3283
MSMEG_0467	0.4877
MSMEG_0468	0.5948
MSMEG_0469	2.9141
MSMEG_0470	0.2006
MSMEG_0471	1.8558
MSMEG_0472	0.4128
MSMEG_0473	0.5082
MSMEG_0474	0.3891
MSMEG_0475	0.3766
MSMEG_0476	0.4674
MSMEG_0477	0.1032
MSMEG_0478	0.2981
MSMEG_0479	0.1397
MSMEG_0480	4.9343
MSMEG_0481	1.0466
MSMEG_0482	1.4606
MSMEG_0483	0.3914
MSMEG_0484	0.7689
MSMEG_0485	0.3164
MSMEG_0486	0.3309
MSMEG_0487	0.5362
MSMEG_0488	3.516
MSMEG_0489	0.4384
MSMEG_0490	0.5413
MSMEG_0491	0.3825
MSMEG_0492	1.5238
MSMEG_0493	5.3774
MSMEG_0494	2.5403
MSMEG_0496	0.5772
MSMEG_0497	0.8432
MSMEG_0498	0.395
MSMEG_0499	0.5968
MSMEG_0500	0.7707
MSMEG_0501	0.2638
MSMEG_0502	0.598
MSMEG_0503	0.8886
MSMEG_0504	0.5358
MSMEG_0505	0.334
MSMEG_0506	0.2011
MSMEG_0507	0.1597
MSMEG_0508	0.6058
MSMEG_0509	0.4405
MSMEG_0510	0.8156
MSMEG_0511	0.4666
MSMEG_0512	0.5085
MSMEG_0513	0.5818
MSMEG_0514	0.4682
MSMEG_0515	0.9077
MSMEG_0516	0.1219
MSMEG_0517	0.7943
MSMEG_0518	0.6944
MSMEG_0519	3.0154
MSMEG_0520	0.6466
MSMEG_0522	2.4748
MSMEG_0523	1.3723
MSMEG_0524	0.7692
MSMEG_0525	0.3998
MSMEG_0526	0.5282
MSMEG_0527	0.4232
MSMEG_0528	0.6682
MSMEG_0529	0.2093
MSMEG_0530	0.6227
MSMEG_0531	1.4006
MSMEG_0532	0.5399
MSMEG_0533	0.2022
MSMEG_0534	0.7075
MSMEG_0535	0.1928
MSMEG_0536	0.5688
MSMEG_0537	0.4321
MSMEG_0538	0.6988
MSMEG_0539	0.5588
MSMEG_0540	4.4138
MSMEG_0541	1.226
MSMEG_0542	0.4225
MSMEG_0543	0.8389
MSMEG_0544	0.6992
MSMEG_0545	0.3699
MSMEG_0546	3.0196
MSMEG_0547	0.0917
MSMEG_0548	0.6409
MSMEG_0549	0.2229
MSMEG_0550	0.3354
MSMEG_0551	1.4688
MSMEG_0552	2.1346
MSMEG_0553	0.1622
MSMEG_0554	0.6836
MSMEG_0555	0.3749
MSMEG_0556	0.944
MSMEG_0557	0.6084
MSMEG_0558	0.3889
MSMEG_0559	2.1084
MSMEG_0560	0.3189
MSMEG_0561	2.025
MSMEG_0562	0.7158
MSMEG_0563	1.9416
MSMEG_0564	0.6279
MSMEG_0565	0.6009
MSMEG_0566	0.4504
MSMEG_0567	0.2115
MSMEG_0568	0.5455
MSMEG_0569	0.3226
MSMEG_0570	0.4291
MSMEG_0571	0.3191
MSMEG_0572	0.6657
MSMEG_0573	1.1235
MSMEG_0574	0.1473
MSMEG_0575	0.3159
MSMEG_0576	0.3093
MSMEG_0577	0.0821
MSMEG_0578	0.3746
MSMEG_0579	1.3153
MSMEG_0580	2.5019
MSMEG_0581	0.8498
MSMEG_0582	0.7178
MSMEG_0583	0.7769
MSMEG_0584	0.926
MSMEG_0585	0.7804
MSMEG_0586	0.9427
MSMEG_0587	0.4555
MSMEG_0588	0.7401
MSMEG_0589	0.2668
MSMEG_0590	0.4166
MSMEG_0591	0.1416
MSMEG_0592	0.4536
MSMEG_0593	0.1964
MSMEG_0594	0.4175
MSMEG_0595	5.1418
MSMEG_0596	1.1
MSMEG_0597	3.5263
MSMEG_0598	0.9162
MSMEG_0599	2.1941
MSMEG_0600	0.7109
MSMEG_0601	0.3688
MSMEG_0602	2.0483
MSMEG_0603	0.9919
MSMEG_0604	0.2303
MSMEG_0605	0.2711
MSMEG_0606	0.7579
MSMEG_0607	0.5167
MSMEG_0608	0.6251
MSMEG_0609	4.3639
MSMEG_0610	0.6999
MSMEG_0611	0.3554
MSMEG_0612	1.8602
MSMEG_0613	3.0697
MSMEG_0614	3.1047
MSMEG_0615	0.128
MSMEG_0616	0.341
MSMEG_0617	0.4181
MSMEG_0618	1.8512
MSMEG_0619	0.1381
MSMEG_0620	1.5232
MSMEG_0621	0.8151
MSMEG_0622	0.5699
MSMEG_0623	0.3406
MSMEG_0624	0.1579
MSMEG_0625	0.4302
MSMEG_0626	0.3224
MSMEG_0627	0.0957
MSMEG_0628	0.6334
MSMEG_0629	0.7353
MSMEG_0630	0.0809
MSMEG_0632	1.3299
MSMEG_0633	22.8128
MSMEG_0634	0.2615
MSMEG_0635	0.2073
MSMEG_0636	1.455
MSMEG_0637	0.0994
MSMEG_0638	1.9333
MSMEG_0639	0.1755
MSMEG_0640	0.2608
MSMEG_0641	0.1031
MSMEG_0642	0.0917
MSMEG_0643	3.7399
MSMEG_0644	1.1707
MSMEG_0645	0.7204
MSMEG_0646	0.2632
MSMEG_0647	0.1989
MSMEG_0648	0.3729
MSMEG_0649	0.3303
MSMEG_0650	0.7558
MSMEG_0651	0.1818
MSMEG_0652	0.1952
MSMEG_0654	0.5667
MSMEG_0655	0.5923
MSMEG_0656	0.2167
MSMEG_0657	0.3336
MSMEG_0658	0.4959
MSMEG_0659	0.3145
MSMEG_0660	1.0571
MSMEG_0661	0.2665
MSMEG_0662	0.7282
MSMEG_0663	0.6503
MSMEG_0664	0.5319
MSMEG_0665	1.1507
MSMEG_0666	0.1247
MSMEG_0667	0.7048
MSMEG_0668	9.2532
MSMEG_0669	0.8274
MSMEG_0670	0.2578
MSMEG_0671	0.4307
MSMEG_0672	2.1861
MSMEG_0673	1.835
MSMEG_0674	0.5957
MSMEG_0675	0.6835
MSMEG_0676	0.2554
MSMEG_0678	3.539
MSMEG_0679	1.8207
MSMEG_0680	0.0311
MSMEG_0681	0.6264
MSMEG_0682	0.2697
MSMEG_0683	0.4541
MSMEG_0684	0.5229
MSMEG_0685	0.7482
MSMEG_0686	1.8854
MSMEG_0687	0.0807
MSMEG_0688	2.0652
MSMEG_0689	0.6766
MSMEG_0690	2.4269
MSMEG_0691	0.2606
MSMEG_0692	0.8895
MSMEG_0693	1.8745
MSMEG_0695	0.338
MSMEG_0696	0.9104
MSMEG_0697	1.8903
MSMEG_0698	0.216
MSMEG_0699	5.3378
MSMEG_0700	0.1143
MSMEG_0701	0.0627
MSMEG_0702	0.5865
MSMEG_0703	1.1728
MSMEG_0704	1.4944
MSMEG_0705	1.049
MSMEG_0706	0.4385
MSMEG_0707	0.5611
MSMEG_0708	0.5682
MSMEG_0709	2.7865
MSMEG_0710	0.6936
MSMEG_0711	0.3933
MSMEG_0712	0.8482
MSMEG_0713	0.1642
MSMEG_0714	0.7118
MSMEG_0715	0.7699
MSMEG_0716	0.4009
MSMEG_0717	7.6545
MSMEG_0718	0.6312
MSMEG_0719	0.6113
MSMEG_0720	0.2442
MSMEG_0722	0.5686
MSMEG_0723	0.2732
MSMEG_0724	0.2027
MSMEG_0725	0.9386
MSMEG_0726	1.3
MSMEG_0727	0.2819
MSMEG_0728	0.8572
MSMEG_0729	0.6215
MSMEG_0730	0.1456
MSMEG_0731	1.7668
MSMEG_0732	3.0954
MSMEG_0733	0.4324
MSMEG_0734	2.5517
MSMEG_0735	1.2813
MSMEG_0736	1.394
MSMEG_0737	0.0747
MSMEG_0738	0.1335
MSMEG_0739	0.201
MSMEG_0740	0.6395
MSMEG_0741	0.6086
MSMEG_0742	0.1823
MSMEG_0743	2.6501
MSMEG_0744	0.0432
MSMEG_0745	0.5502
MSMEG_0746	0.4499
MSMEG_0747	0.4865
MSMEG_0748	0.7602
MSMEG_0749	1.6581
MSMEG_0750	5.4131
MSMEG_0751	0.2243
MSMEG_0752	0.9637
MSMEG_0753	0.7195
MSMEG_0754	25.2534
MSMEG_0755	0.6396
MSMEG_0756	2.5164
MSMEG_0757	0.3326
MSMEG_0758	0.8075
MSMEG_0759	1.4931
MSMEG_0760	0.2182
MSMEG_0761	0.5845
MSMEG_0762	3.8325
MSMEG_0763	0.1288
MSMEG_0764	0.6423
MSMEG_0765	1.4622
MSMEG_0766	0.7525
MSMEG_0767	0.1473
MSMEG_0768	0.8199
MSMEG_0769	0.5963
MSMEG_0770	0.0861
MSMEG_0771	1.2913
MSMEG_0772	0.8646
MSMEG_0773	4.5927
MSMEG_0775	6.855
MSMEG_0776	0.2084
MSMEG_0777	9.4507
MSMEG_0778	0.1449
MSMEG_0779	0.7418
MSMEG_0780	0.5752
MSMEG_0781	0.2532
MSMEG_0782	1.3107
MSMEG_0783	0.6783
MSMEG_0784	0.3938
MSMEG_0785	0.9802
MSMEG_0786	0.4759
MSMEG_0787	0.2089
MSMEG_0788	0.3633
MSMEG_0789	0.6456
MSMEG_0790	1.3705
MSMEG_0791	1.4004
MSMEG_0792	0.5142
MSMEG_0793	0.2451
MSMEG_0794	0.2178
MSMEG_0795	0.1075
MSMEG_0796	0.4604
MSMEG_0798	0.43
MSMEG_0799	0.1816
MSMEG_0800	0.2474
MSMEG_0801	0.1998
MSMEG_0802	0.5408
MSMEG_0803	0.9493
MSMEG_0804	0.4741
MSMEG_0805	0.4812
MSMEG_0806	0.5744
MSMEG_0807	0.1322
MSMEG_0808	0.0494
MSMEG_0809	0.3425
MSMEG_0810	6.2359
MSMEG_0811	0.4341
MSMEG_0812	0.4996
MSMEG_0813	0.4902
MSMEG_0814	1.0869
MSMEG_0815	1.1568
MSMEG_0816	4.3354
MSMEG_0817	2.1643
MSMEG_0818	0.4404
MSMEG_0819	0.505
MSMEG_0820	0.5032
MSMEG_0821	0.3282
MSMEG_0822	0.0304
MSMEG_0823	0.0731
MSMEG_0824	0.4337
MSMEG_0825	0.34
MSMEG_0826	1.3761
MSMEG_0827	0.5302
MSMEG_0828	0.9672
MSMEG_0829	0.1881
MSMEG_0830	0.082
MSMEG_0831	0.7751
MSMEG_0832	2.2839
MSMEG_0833	0.9699
MSMEG_0834	0.1307
MSMEG_0835	0.428
MSMEG_0836	0.2517
MSMEG_0837	0.2512
MSMEG_0838	0.6683
MSMEG_0839	1.4451
MSMEG_0840	0.2382
MSMEG_0842	0.6285
MSMEG_0843	0.1982
MSMEG_0844	0.5474
MSMEG_0845	0.2829
MSMEG_0846	0.0772
MSMEG_0847	0.2142
MSMEG_0848	0.582
MSMEG_0849	0.4985
MSMEG_0850	0.3594
MSMEG_0851	0.3787
MSMEG_0852	0.6397
MSMEG_0853	0.6788
MSMEG_0854	2.19
MSMEG_0855	1.1926
MSMEG_0856	0.5807
MSMEG_0857	2.6582
MSMEG_0858	0.3795
MSMEG_0859	0.4352
MSMEG_0860	0.1505
MSMEG_0861	0.1745
MSMEG_0862	0.1876
MSMEG_0863	9.6671
MSMEG_0864	1.7592
MSMEG_0865	0.4284
MSMEG_0866	3.093
MSMEG_0867	0.3899
MSMEG_0868	0.497
MSMEG_0869	0.4557
MSMEG_0870	0.4442
MSMEG_0871	0.1319
MSMEG_0872	0.8189
MSMEG_0873	0.3493
MSMEG_0874	1.6662
MSMEG_0875	0.1666
MSMEG_0876	0.6808
MSMEG_0877	1.3793
MSMEG_0878	0.7113
MSMEG_0879	0.047
MSMEG_0880	1.8341
MSMEG_0881	0.2197
MSMEG_0882	0.6878
MSMEG_0883	1.2912
MSMEG_0884	2.6219
MSMEG_0885	0.0732
MSMEG_0886	3.0405
MSMEG_0887	3.1172
MSMEG_0888	0.2922
MSMEG_0889	0.7458
MSMEG_0890	1.517
MSMEG_0891	0.0559
MSMEG_0892	0.557
MSMEG_0893	0.334
MSMEG_0894	0.6962
MSMEG_0895	0.8347
MSMEG_0896	0.1709
MSMEG_0897	0.2716
MSMEG_0898	0.2147
MSMEG_0899	2.94
MSMEG_0900	0.7723
MSMEG_0901	0.2869
MSMEG_0902	0.5456
MSMEG_0903	1.8913
MSMEG_0904	0.2818
MSMEG_0905	0.8301
MSMEG_0906	2.0193
MSMEG_0907	0.6813
MSMEG_0908	0.7111
MSMEG_0909	1.1013
MSMEG_0910	0.0227
MSMEG_0911	1.212
MSMEG_0912	0.5218
MSMEG_0913	0.539
MSMEG_0914	0.0952
MSMEG_0915	0.0952
MSMEG_0916	0.8674
MSMEG_0917	1.4877
MSMEG_0918	0.1902
MSMEG_0919	1.0295
MSMEG_0920	8.5505
MSMEG_0921	0.1009
MSMEG_0922	0.1784
MSMEG_0923	0.2632
MSMEG_0924	1.1607
MSMEG_0925	0.3878
MSMEG_0926	0.7344
MSMEG_0927	0.7744
MSMEG_0928	1.7213
MSMEG_0929	1.1749
MSMEG_0930	1.6755
MSMEG_0931	0.1837
MSMEG_0932	1.1435
MSMEG_0933	0.102
MSMEG_0934	0.4493
MSMEG_0935	2.0236
MSMEG_0936	0.5253
MSMEG_0937	0.7942
MSMEG_0938	26.086
MSMEG_0939	1.9569
MSMEG_0940	0.5916
MSMEG_0941	0.1183
MSMEG_0942	0.5386
MSMEG_0943	2.31
MSMEG_0944	1.4002
MSMEG_0945	0.4167
MSMEG_0946	0.1444
MSMEG_0947	0.1886
MSMEG_0948	0.1595
MSMEG_0949	0.6684
MSMEG_0950	0.257
MSMEG_0951	0.2901
MSMEG_0952	2.7606
MSMEG_0953	0.0781
MSMEG_0954	0.3653
MSMEG_0955	0.0949
MSMEG_0956	0.2478
MSMEG_0957	0.2352
MSMEG_0958	0.1064
MSMEG_0959	0.1934
MSMEG_0960	0.2665
MSMEG_0962	1.1158
MSMEG_0963	0.08
MSMEG_0964	0.0862
MSMEG_0965	0.2862
MSMEG_0966	0.1465
MSMEG_0967	1.5115
MSMEG_0968	12.9909
MSMEG_0969	1.4455
MSMEG_0970	0.3737
MSMEG_0971	0.1178
MSMEG_0972	0.1768
MSMEG_0973	0.0815
MSMEG_0974	0.6652
MSMEG_0975	0.2224
MSMEG_0976	13.3426
MSMEG_0977	1.5438
MSMEG_0978	0.2208
MSMEG_0979	0.1125
MSMEG_0980	1.5957
MSMEG_0981	2.6264
MSMEG_0982	0.9376
MSMEG_0983	0.1934
MSMEG_0984	0.2011
MSMEG_0985	0.155
MSMEG_0986	2.0824
MSMEG_0987	3.7619
MSMEG_0988	0.1556
MSMEG_0989	0.4045
MSMEG_0990	0.2359
MSMEG_0991	0.2403
MSMEG_0992	0.3031
MSMEG_0993	0.2559
MSMEG_0994	0.8833
MSMEG_0995	0.2575
MSMEG_0996	0.4538
MSMEG_0997	0.443
MSMEG_0998	0.3332
MSMEG_0999	1.3854
MSMEG_1000	0.1468
MSMEG_1001	0.785
MSMEG_1002	0.037
MSMEG_1003	1.0
MSMEG_1004	1.0
MSMEG_1005	1.0
MSMEG_1006	1.0
MSMEG_1007	1.0
MSMEG_1008	1.0
MSMEG_1009	1.0
MSMEG_1010	1.0
MSMEG_1011	1.0
MSMEG_1012	1.0
MSMEG_1013	1.0
MSMEG_1014	1.0
MSMEG_1015	1.0
MSMEG_1016	1.0
MSMEG_1017	1.0
MSMEG_1019	1.0
MSMEG_1021	1.0
MSMEG_1022	1.0
MSMEG_1023	1.0
MSMEG_1024	1.0
MSMEG_1025	1.0
MSMEG_1026	1.0
MSMEG_1027	1.0
MSMEG_1028	1.0
